   -1.2001284701e+03     1.3636288291e+02    -1.2772709741e+03     4.8786357000e-01
   -1.1978017319e+03     1.7274138822e+02    -1.2406458514e+03     4.2871213000e-01
   -1.1775018481e+03     8.5124033125e+02    -9.6541325865e+02     1.0183004000e+00
   -1.1804443782e+03     1.2542609994e+02    -1.3082713965e+03     4.9984542000e-01
   -1.1699263120e+03     1.6761472116e+02    -1.3057960364e+03     5.0436938000e-01
   -1.1740047028e+03     1.5675251322e+02    -1.2909627738e+03     4.8463279000e-01
   -1.1778539995e+03     1.6044207763e+02    -1.2852194222e+03     4.7452873000e-01
   -1.1799999283e+03     2.0990586397e+02    -1.3047006495e+03     5.2548593000e-01
   -1.1757843298e+03     1.9779099931e+02    -1.2883363027e+03     4.7803840000e-01
   -1.1822341393e+03     1.6160702302e+02    -1.2403322808e+03     4.2077005000e-01
